english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
The native controller must be clean before the virtual controller mode can work. In virtual mode the physical pad is hidden and one virtual VIIPER controller is active; in hardware mode the physical pad is used directly.	Der native Controller muss sauber sein, bevor der virtuelle Controller-Modus funktioniert. Im virtuellen Modus wird der physische Pad versteckt und ein virtueller VIIPER-Controller ist aktiv; im Hardware-Modus wird der physische Pad direkt benutzt.	La manette native doit être propre avant que le mode virtuel puisse fonctionner. En mode virtuel la manette physique est masquée et une manette VIIPER virtuelle est active ; en mode matériel la manette physique est utilisée directement.	가상 컨트롤러 모드가 동작하려면 기본 컨트롤러가 깨끗해야 합니다. 가상 모드에서는 물리 패드가 숨겨지고 VIIPER 가상 컨트롤러가 활성화되며, 하드웨어 모드에서는 물리 패드를 직접 사용합니다.	El mando nativo debe estar limpio antes de que funcione el modo de mando virtual. En modo virtual el mando físico se oculta y hay un mando virtual VIIPER activo; en modo hardware se usa el mando físico directamente.					Il controller nativo deve essere pulito prima che la modalità virtuale possa funzionare. In modalità virtuale il pad fisico è nascosto ed è attivo un controller virtuale VIIPER; in modalità hardware il pad fisico viene usato direttamente.	O controle nativo precisa estar limpo antes que o modo de controle virtual funcione. No modo virtual o controle físico fica oculto e um controle virtual VIIPER fica ativo; no modo hardware o controle físico é usado diretamente.		Natywny kontroler musi być czysty, zanim tryb wirtualnego kontrolera zadziała. W trybie wirtualnym fizyczny pad jest ukryty i aktywny jest jeden wirtualny kontroler VIIPER; w trybie sprzętowym fizyczny pad jest używany bezpośrednio.
The newest changes, least tested	Die neuesten Änderungen, am wenigsten getestet	Les changements les plus récents, les moins testés	가장 새로운 변경, 가장 적게 검증됨	Los cambios más nuevos, los menos probados					Le novità più recenti, meno testate	As mudanças mais novas, menos testadas		Najnowsze zmiany, najmniej przetestowane
The old helper exited on its own.	Der alte Helper hat sich selbst beendet.	L'ancien assistant s'est arrêté tout seul.	이전 헬퍼가 스스로 종료되었습니다.	El asistente anterior se cerró solo.					Il vecchio helper si è chiuso da solo.	O helper antigo saiu sozinho.		Stary helper zakończył pracę sam.
The old version's uninstaller is running — confirm its prompt. This notice disappears once it's gone (press Ⓨ to refresh).	Die Deinstallation der alten Version läuft — bestätige ihre Abfrage. Der Hinweis verschwindet, sobald sie weg ist (Ⓨ aktualisiert).	Le désinstalleur de l'ancienne version tourne — confirmez sa demande. Cet avis disparaît une fois terminé (Ⓨ pour actualiser).	이전 버전의 제거 프로그램이 실행 중입니다 — 표시되는 확인을 눌러 주세요. 제거되면 이 안내는 사라집니다 (Ⓨ로 새로 고침).	El desinstalador de la versión antigua está en marcha — confirma su aviso. Este mensaje desaparece cuando termine (Ⓨ para actualizar).					Il programma di disinstallazione della vecchia versione è in esecuzione — conferma la sua richiesta. Questo avviso sparisce quando ha finito (premi Ⓨ per aggiornare).	O desinstalador da versão antiga está em execução — confirme o pedido dele. Este aviso some quando terminar (pressione Ⓨ para atualizar).		Deinstalator starej wersji działa — potwierdź jego monit. Ten komunikat zniknie, gdy skończy (naciśnij Ⓨ, aby odświeżyć).
The package could not be removed. Close the Game Bar and try again, or remove ClawTweaks from Settings → Apps.	Das Paket ließ sich nicht entfernen. Schließe die Game Bar und versuche es erneut, oder entferne ClawTweaks über Einstellungen → Apps.	Le paquet n'a pas pu être supprimé. Ferme le Game Bar et réessaie, ou supprime ClawTweaks depuis Paramètres → Applications.	패키지를 제거하지 못했습니다. 게임 바를 닫고 다시 시도하거나, 설정 → 앱에서 ClawTweaks를 제거하세요.	No se pudo quitar el paquete. Cierra la Game Bar e inténtalo otra vez, o quita ClawTweaks desde Configuración → Aplicaciones.					Impossibile rimuovere il pacchetto. Chiudi la Game Bar e riprova, oppure rimuovi ClawTweaks da Impostazioni → App.	Não foi possível remover o pacote. Feche a Game Bar e tente de novo, ou remova o ClawTweaks em Configurações → Aplicativos.		Nie udało się usunąć pakietu. Zamknij Game Bar i spróbuj ponownie lub usuń ClawTweaks w Ustawienia → Aplikacje.
The package family conflicted with this update. Clearing it and retrying once…	Die Paketfamilie stand diesem Update im Weg. Sie wird geleert und einmal erneut versucht…	La famille de paquets bloquait cette mise à jour. Nettoyage puis nouvelle tentative…	패키지 제품군이 이 업데이트와 충돌했습니다. 정리한 뒤 한 번 다시 시도합니다…	La familia de paquetes bloqueó esta actualización. Se limpia y se reintenta una vez…					La famiglia del pacchetto è in conflitto con questo aggiornamento. Pulizia e un nuovo tentativo…	A família do pacote entrou em conflito com esta atualização. Limpando e tentando mais uma vez…		Rodzina pakietu koliduje z tą aktualizacją. Czyszczenie i jedna ponowna próba…
The reset did not finish.	Das Zurücksetzen ist nicht durchgelaufen.	La réinitialisation n'a pas abouti.	초기화가 끝나지 않았습니다.	El restablecimiento no terminó.					Il reset non è terminato.	A redefinição não terminou.		Reset nie został ukończony.
The signing certificate uses Windows' own prompt, once per device.	Das Zertifikat nutzt Windows' eigene Abfrage, einmal pro Gerät.	Le certificat passe par la fenêtre de Windows, une fois par appareil.	서명 인증서는 Windows 자체 창을 쓰며, 기기당 한 번입니다.	El certificado usa la ventana de Windows, una vez por dispositivo.					Il certificato di firma usa la richiesta di Windows, una volta per dispositivo.	O certificado de assinatura usa o próprio pedido do Windows, uma vez por dispositivo.		Certyfikat podpisu używa własnego monitu Windows, raz na urządzenie.
The widget shows what the helper does; it changes nothing by itself.	Das Widget zeigt, was der Helper tut; es ändert selbst nichts.	Le widget montre ce que fait le helper ; il ne change rien lui-même.	위젯은 헬퍼가 하는 일을 보여줄 뿐, 스스로 바꾸지 않습니다.	El widget muestra lo que hace el helper; no cambia nada por sí solo.					Il widget mostra ciò che fa l'helper; da solo non cambia nulla.	O widget mostra o que o helper faz; sozinho ele não muda nada.		Widżet pokazuje, co robi helper; sam nic nie zmienia.
The wiki page could not be read. Open it in a browser.	Die Wiki-Seite ließ sich nicht lesen. Öffne sie im Browser.	La page wiki n'a pas pu être lue. Ouvre-la dans le navigateur.	위키 문서를 읽지 못했습니다. 브라우저에서 열어 보세요.	No se pudo leer la página wiki. Ábrela en el navegador.					Impossibile leggere la pagina wiki. Aprila in un browser.	Não foi possível ler a página da wiki. Abra-a em um navegador.		Nie udało się odczytać strony wiki. Otwórz ją w przeglądarce.
This Setup build is outdated	Dieser Setup-Build ist veraltet	Ce build de Setup est obsolète	이 Setup 빌드는 오래되었습니다	Este build de Setup es antiguo					Questa build del Setup è obsoleta	Este build do Setup está desatualizado		Ta wersja instalatora jest nieaktualna
This installs an OLDER version than the one installed.	Das installiert eine ÄLTERE Version als die installierte.	Ceci installe une version PLUS ANCIENNE que celle installée.	설치된 것보다 이전 버전을 설치합니다.	Esto instala una versión MÁS ANTIGUA que la instalada.					Installa una versione PIÙ VECCHIA di quella presente.	Isto instala uma versão MAIS ANTIGA que a instalada.		To instaluje STARSZĄ wersję niż zainstalowana.
This is a scaffold build without a bundled package, so there's nothing to install here. In a real setup bundle the .msix and .cer sit next to this exe.	Das ist ein Gerüst-Build ohne mitgeliefertes Paket, hier gibt es also nichts zu installieren. In einem echten Setup-Bündel liegen .msix und .cer neben dieser exe.	Ceci est un build d'ossature sans paquet, il n'y a donc rien à installer ici. Dans un vrai bundle, le .msix et le .cer sont à côté de cet exe.	이 빌드는 패키지가 포함되지 않은 골격 빌드라 설치할 것이 없습니다. 실제 설치 번들에서는 .msix와 .cer이 이 exe 옆에 있습니다.	Este es un build de andamiaje sin paquete, así que no hay nada que instalar. En un bundle real el .msix y el .cer están junto a este exe.					Questa è una build scheletro senza pacchetto incluso, quindi qui non c'è nulla da installare. In un vero bundle di setup .msix e .cer stanno accanto a questo exe.	Este é um build de esqueleto sem pacote incluído, então não há nada para instalar aqui. Em um bundle de setup real, o .msix e o .cer ficam ao lado deste exe.		To wersja szkieletowa bez dołączonego pakietu, więc nie ma tu nic do zainstalowania. W prawdziwym pakiecie instalatora .msix i .cer leżą obok tego pliku exe.
This puts the device back and clears your ClawTweaks settings:	Das setzt das Gerät zurück und löscht deine ClawTweaks-Einstellungen:	Ceci restaure l'appareil et efface tes réglages ClawTweaks :	기기를 되돌리고 ClawTweaks 설정을 지웁니다:	Esto restaura el dispositivo y borra tus ajustes de ClawTweaks:					Ripristina il dispositivo e cancella le impostazioni ClawTweaks:	Isto restaura o dispositivo e apaga suas configurações do ClawTweaks:		To przywraca urządzenie i czyści ustawienia ClawTweaks:
This removes ClawTweaks Center and closes it.	Das entfernt ClawTweaks Center und schließt es.	Ceci supprime ClawTweaks Center et le ferme.	ClawTweaks Center를 제거하고 닫습니다.	Esto quita ClawTweaks Center y lo cierra.					Rimuove ClawTweaks Center e lo chiude.	Isto remove o ClawTweaks Center e o fecha.		To usuwa ClawTweaks Center i go zamyka.
This removes the ClawTweaks app from Windows.	Das entfernt die ClawTweaks-App aus Windows.	Ceci supprime l'app ClawTweaks de Windows.	Windows에서 ClawTweaks 앱을 제거합니다.	Esto quita la app ClawTweaks de Windows.					Rimuove l'app ClawTweaks da Windows.	Isto remove o app ClawTweaks do Windows.		To usuwa aplikację ClawTweaks z Windows.
This resets ALL ClawTweaks settings to a clean state:	Das setzt ALLE ClawTweaks-Einstellungen zurück:	Cela remet TOUS les réglages ClawTweaks à zéro :	모든 ClawTweaks 설정을 초기 상태로 되돌립니다:	Esto restablece TODOS los ajustes de ClawTweaks:					Azzera TUTTE le impostazioni ClawTweaks:	Isto redefine TODAS as configurações do ClawTweaks:		To resetuje WSZYSTKIE ustawienia ClawTweaks:
This takes a moment.	Das dauert einen Moment.	Cela prend un instant.	잠시 걸립니다.	Esto tarda un momento.					Ci vuole un momento.	Isto leva um momento.		To chwilę potrwa.
This version can't be installed	Diese Version lässt sich nicht installieren	Cette version ne peut pas être installée	이 버전은 설치할 수 없습니다	Esta versión no se puede instalar					Questa versione non si può installare	Esta versão não pode ser instalada		Tej wersji nie można zainstalować
This version is already installed. Open it from the Start Menu or the ClawTweaks Game Bar widget instead of running this Setup file again.	Diese Version ist bereits installiert. Öffne sie über das Startmenü oder das ClawTweaks-Widget in der Game Bar, statt diese Setup-Datei erneut auszuführen.	Cette version est déjà installée. Ouvrez-la depuis le menu Démarrer ou le widget ClawTweaks de la Game Bar plutôt que de relancer ce fichier.	이 버전은 이미 설치되어 있습니다. 이 설치 파일을 다시 실행하지 말고 시작 메뉴나 Game Bar의 ClawTweaks 위젯에서 여세요.	Esta versión ya está instalada. Ábrela desde el menú Inicio o el widget de ClawTweaks en la Game Bar en vez de ejecutar este archivo otra vez.					Questa versione è già installata. Aprila dal menu Start o dal widget ClawTweaks della Game Bar invece di rilanciare questo file di Setup.	Esta versão já está instalada. Abra-a pelo menu Iniciar ou pelo widget do ClawTweaks na Game Bar em vez de executar este Setup de novo.		Ta wersja jest już zainstalowana. Otwórz ją z menu Start lub z widżetu ClawTweaks w Game Bar zamiast ponownie uruchamiać ten instalator.
Timed out	Zeit abgelaufen	Délai dépassé	시간 초과	Tiempo agotado					Tempo scaduto	Tempo esgotado		Koniec czasu
Transition to new Center App - Uninstall the old version	Umstieg auf das neue Center — alte Version deinstallieren	Passage au nouveau Center — désinstaller l'ancienne version	새 Center로 전환 — 이전 버전 제거	Cambio al nuevo Center — desinstala la versión antigua					Passaggio alla nuova app Center - Disinstalla la versione precedente	Transição para o novo app Center - Desinstale a versão antiga		Przejście na nową aplikację Center - odinstaluj starą wersję
Trusts the signing certificate, installs the app package, opens the Game Bar and waits for the helper. Safe to run again on an update.	Vertraut dem Signaturzertifikat, installiert das App-Paket, öffnet die Game Bar und wartet auf den Helper. Bei einem Update gefahrlos wiederholbar.	Approuve le certificat, installe le paquet, ouvre la Game Bar et attend le helper. Peut être relancé sans risque lors d'une mise à jour.	서명 인증서를 신뢰하고 앱 패키지를 설치한 뒤 Game Bar를 열고 헬퍼를 기다립니다. 업데이트 시 다시 실행해도 안전합니다.	Confía en el certificado, instala el paquete, abre la Game Bar y espera al helper. Se puede repetir sin riesgo en una actualización.					Rende attendibile il certificato di firma, installa il pacchetto dell'app, apre la Game Bar e attende l'helper. Sicuro da rieseguire a un aggiornamento.	Confia no certificado de assinatura, instala o pacote do app, abre a Game Bar e aguarda o helper. Seguro executar de novo em uma atualização.		Ufa certyfikatowi podpisu, instaluje pakiet aplikacji, otwiera Game Bar i czeka na helper. Można bezpiecznie uruchomić ponownie przy aktualizacji.
Turn MSI Center M back on	MSI Center M wieder einschalten	Réactiver MSI Center M	MSI Center M 다시 켜기	Volver a activar MSI Center M					Riattiva MSI Center M	Religar o MSI Center M		Włącz ponownie MSI Center M
Turn on	Einschalten	Activer	켜기	Activar					Attiva	Ligar		Włącz
Turning MSI Center M back on…	Schaltet MSI Center M wieder ein…	Réactivation de MSI Center M…	MSI Center M을 다시 켜는 중…	Reactivando MSI Center M…					Riattivazione di MSI Center M…	Religando o MSI Center M…		Ponowne włączanie MSI Center M…
Uninstall	Deinstallieren	Désinstaller	제거	Desinstalar					Disinstalla	Desinstalar		Odinstaluj
Uninstall Center	Center deinstallieren	Désinstaller Center	Center 제거	Desinstalar Center					Disinstalla Center	Desinstalar o Center		Odinstaluj Center
Update ClawTweaks Center	ClawTweaks Center aktualisieren	Mettre à jour ClawTweaks Center	ClawTweaks Center 업데이트	Actualizar ClawTweaks Center					Aggiorna ClawTweaks Center	Atualizar o ClawTweaks Center		Aktualizuj ClawTweaks Center
Update failed — see the log for details. Try again, or run as Administrator.	Update fehlgeschlagen — Details stehen im Log. Erneut versuchen oder als Administrator ausführen.	Échec de la mise à jour — voir le journal. Réessayez, ou lancez en administrateur.	업데이트 실패 — 자세한 내용은 로그를 보세요. 다시 시도하거나 관리자 권한으로 실행하세요.	Fallo al actualizar — mira el registro. Inténtalo otra vez o ejecuta como administrador.					Aggiornamento non riuscito — vedi il log per i dettagli. Riprova, o esegui come amministratore.	Falha na atualização — veja o log para detalhes. Tente de novo ou execute como administrador.		Aktualizacja nie powiodła się — szczegóły w logu. Spróbuj ponownie lub uruchom jako administrator.
Updates cost no prompt — the task does not carry a version number.	Updates kosten keine Abfrage — die Aufgabe trägt keine Versionsnummer.	Les mises à jour ne demandent rien — la tâche ne porte pas de version.	업데이트에는 창이 뜨지 않습니다. 작업에 버전 번호가 없기 때문입니다.	Las actualizaciones no piden nada: la tarea no lleva número de versión.					Gli aggiornamenti non chiedono nulla — l'attività non porta un numero di versione.	Atualizações não pedem confirmação — a tarefa não carrega número de versão.		Aktualizacje nie wymagają monitu — zadanie nie zawiera numeru wersji.
Updating...	Aktualisiere...	Mise à jour...	업데이트 중...	Actualizando...					Aggiornamento...	Atualizando...		Aktualizowanie...
Use Uninstall ClawTweaks here in Center instead.	Nimm stattdessen hier in Center „Uninstall ClawTweaks“.	Utilise plutôt Uninstall ClawTweaks ici dans Center.	대신 Center의 Uninstall ClawTweaks를 사용하세요.	Usa Uninstall ClawTweaks aquí en Center.					Usa invece Disinstalla ClawTweaks qui in Center.	Use Desinstalar o ClawTweaks aqui no Center em vez disso.		Zamiast tego użyj Odinstaluj ClawTweaks tutaj w Center.
Verifying the virtual pad…	Virtueller Pad wird geprüft…	Vérification de la manette…	가상 패드 확인 중…	Verificando el mando virtual…					Verifica del pad virtuale…	Verificando o controle virtual…		Weryfikacja wirtualnego pada…
Vibration	Vibration	Vibration	진동	Vibración					Vibrazione	Vibração		Wibracje
Virtual controller (VIIPER)	Virtueller Controller (VIIPER)	Manette virtuelle (VIIPER)	가상 컨트롤러 (VIIPER)	Mando virtual (VIIPER)					Controller virtuale (VIIPER)	Controle virtual (VIIPER)		Wirtualny kontroler (VIIPER)
Virtual controller already active — controller is healthy.	Virtueller Controller läuft bereits — Controller ist in Ordnung.	Manette virtuelle déjà active — la manette va bien.	가상 컨트롤러가 이미 활성 — 상태 양호.	Mando virtual ya activo — el mando está bien.					Controller virtuale già attivo — il controller è a posto.	Controle virtual já ativo — o controle está saudável.		Wirtualny kontroler już aktywny — kontroler jest sprawny.
Virtual pad did not mount — rolling back to the hardware controller.	Virtueller Pad kam nicht hoch — zurück zum Hardware-Controller.	La manette virtuelle n'est pas montée — retour à la manette physique.	가상 패드가 올라오지 않아 하드웨어 컨트롤러로 되돌립니다.	El mando virtual no montó — se vuelve al mando físico.					Il pad virtuale non si è montato — torno al controller hardware.	O controle virtual não montou — voltando ao controle de hardware.		Wirtualny pad nie został zamontowany — powrót do kontrolera sprzętowego.
Waiting for UAC…	Warte auf UAC…	Attente de l'UAC…	UAC 대기 중…	Esperando a UAC…					In attesa dell'UAC…	Aguardando o UAC…		Oczekiwanie na UAC…
Waiting for the ClawTweaks helper to start. If the Game Bar opened but nothing happens, select the ClawTweaks Widget in its widget menu and add it — a widget that isn't in the Game Bar yet doesn't start the helper on its own.	Warte darauf, dass der ClawTweaks-Helper startet. Wenn die Game Bar offen ist und nichts passiert, wähle das ClawTweaks-Widget in ihrem Widget-Menü aus und füge es hinzu — ein Widget, das noch nicht in der Game Bar ist, startet den Helper nicht von allein.	En attente du démarrage de l'assistant ClawTweaks. Si la Game Bar s'est ouverte sans rien faire, sélectionne le widget ClawTweaks dans son menu et ajoute-le — un widget absent de la Game Bar ne démarre pas l'assistant tout seul.	ClawTweaks 헬퍼가 시작될 때까지 기다리는 중입니다. Game Bar가 열렸지만 아무 일도 일어나지 않으면 위젯 메뉴에서 ClawTweaks 위젯을 선택해 추가하세요. Game Bar에 없는 위젯은 헬퍼를 스스로 시작하지 않습니다.	Esperando a que se inicie el asistente de ClawTweaks. Si la Game Bar se abrió y no ocurre nada, selecciona el widget de ClawTweaks en su menú de widgets y añádelo — un widget que aún no está en la Game Bar no inicia el asistente por sí solo.					In attesa dell'avvio dell'helper ClawTweaks. Se la Game Bar si è aperta ma non succede nulla, seleziona il widget ClawTweaks nel menu dei widget e aggiungilo — un widget non ancora nella Game Bar non avvia l'helper da solo.	Aguardando o helper do ClawTweaks iniciar. Se a Game Bar abriu mas nada acontece, selecione o widget ClawTweaks no menu de widgets e adicione-o — um widget que ainda não está na Game Bar não inicia o helper sozinho.		Oczekiwanie na uruchomienie helpera ClawTweaks. Jeśli Game Bar się otworzył, ale nic się nie dzieje, wybierz widżet ClawTweaks w menu widżetów i dodaj go — widżet, którego nie ma jeszcze w Game Bar, sam nie uruchamia helpera.
Waiting for the virtual controller to settle…	Warte, bis der virtuelle Controller steht…	Attente de la stabilisation de la manette…	가상 컨트롤러가 안정될 때까지 대기 중…	Esperando a que el mando virtual se asiente…					In attesa che il controller virtuale si stabilizzi…	Aguardando o controle virtual estabilizar…		Oczekiwanie na ustabilizowanie wirtualnego kontrolera…
What does the background helper do?	Was macht der Hintergrund-Helper?	Que fait le helper en arrière-plan ?	백그라운드 헬퍼는 무엇을 하나요?	¿Qué hace el helper en segundo plano?					Cosa fa l'helper in background?	O que o helper em segundo plano faz?		Co robi helper w tle?
What happens	Was passiert	Ce qui se passe	무엇이 일어나는지	Qué ocurre					Cosa succede	O que acontece		Co się stanie
What is the virtual controller for?	Wofür ist der virtuelle Controller da?	À quoi sert la manette virtuelle ?	가상 컨트롤러는 왜 필요한가요?	¿Para qué sirve el mando virtual?					A cosa serve il controller virtuale?	Para que serve o controle virtual?		Po co jest wirtualny kontroler?
What's new	Neuerungen	Nouveautés	새로운 점	Novedades					Novità	Novidades		Co nowego
Where are my settings, and how do I back them up?	Wo sind meine Einstellungen, und wie sichere ich sie?	Où sont mes réglages, et comment les sauvegarder ?	설정은 어디에 있고, 어떻게 백업하나요?	¿Dónde están mis ajustes y cómo los guardo?					Dove sono le mie impostazioni e come ne faccio il backup?	Onde estão minhas configurações e como faço backup?		Gdzie są moje ustawienia i jak zrobić ich kopię?
Why does ClawTweaks ask for admin rights?	Warum fragt ClawTweaks nach Adminrechten?	Pourquoi ClawTweaks demande-t-il les droits admin ?	ClawTweaks는 왜 관리자 권한을 요구하나요?	¿Por qué ClawTweaks pide permisos de administrador?					Perché ClawTweaks chiede i diritti di amministratore?	Por que o ClawTweaks pede direitos de administrador?		Dlaczego ClawTweaks prosi o uprawnienia administratora?
Will be saved to	Wird gespeichert unter	Sera enregistré dans	저장 위치	Se guardará en					Verrà salvato in	Será salvo em		Zostanie zapisane w
Windowed	Fenstermodus	Mode fenêtré	창 모드	En ventana					In finestra	Em janela		W oknie
Windows Insider Preview detected	Windows Insider Preview erkannt	Windows Insider Preview détecté	Windows Insider Preview 감지됨	Windows Insider Preview detectado					Rilevato Windows Insider Preview	Windows Insider Preview detectado		Wykryto Windows Insider Preview
Windows asked to uninstall Center. Finish here, or press B to keep everything.	Windows will Center deinstallieren. Hier abschließen, oder B drücken und alles behalten.	Windows veut désinstaller Center. Termine ici, ou appuie sur B pour tout garder.	Windows가 Center 제거를 요청했습니다. 여기서 마치거나 B를 눌러 그대로 두세요.	Windows quiere desinstalar Center. Termina aquí, o pulsa B para conservarlo todo.					Windows ha chiesto di disinstallare Center. Termina qui, o premi B per mantenere tutto.	O Windows pediu para desinstalar o Center. Conclua aqui ou pressione B para manter tudo.		Windows poprosił o odinstalowanie Center. Zakończ tutaj lub naciśnij B, aby wszystko zachować.
Windows could not open the package file. This is not a problem with the package itself — the deployment service (running as SYSTEM) could not read it. Try installing from a folder outside your user profile, and check whether Gaming Services is healthy.	Windows konnte die Paketdatei nicht öffnen. Das liegt nicht am Paket selbst — der Bereitstellungsdienst (läuft als SYSTEM) konnte sie nicht lesen. Installiere aus einem Ordner außerhalb deines Benutzerprofils und prüfe, ob Gaming Services in Ordnung ist.	Windows n'a pas pu ouvrir le fichier du paquet. Le problème ne vient pas du paquet — le service de déploiement (exécuté en tant que SYSTEM) n'a pas pu le lire. Installe depuis un dossier hors de ton profil utilisateur et vérifie l'état de Gaming Services.	Windows가 패키지 파일을 열 수 없었습니다. 패키지 자체의 문제가 아니라 — 배포 서비스(SYSTEM 권한)가 읽지 못했습니다. 사용자 프로필 밖의 폴더에서 설치하고 Gaming Services 상태를 확인하세요.	Windows no pudo abrir el archivo del paquete. No es un problema del paquete — el servicio de implementación (que se ejecuta como SYSTEM) no pudo leerlo. Instala desde una carpeta fuera de tu perfil de usuario y comprueba el estado de Gaming Services.					Windows non ha potuto aprire il file del pacchetto. Non è un problema del pacchetto — il servizio di distribuzione (in esecuzione come SYSTEM) non è riuscito a leggerlo. Prova a installare da una cartella fuori dal tuo profilo utente e controlla che Gaming Services sia integro.	O Windows não conseguiu abrir o arquivo do pacote. Não é um problema do pacote em si — o serviço de implantação (executando como SYSTEM) não conseguiu lê-lo. Tente instalar a partir de uma pasta fora do seu perfil de usuário e verifique se o Gaming Services está íntegro.		Windows nie mógł otworzyć pliku pakietu. To nie problem z samym pakietem — usługa wdrażania (działająca jako SYSTEM) nie mogła go odczytać. Spróbuj zainstalować z folderu poza profilem użytkownika i sprawdź, czy Gaming Services działa poprawnie.
Windows could not open the package from this folder. Retrying from a machine-wide location…	Windows konnte das Paket aus diesem Ordner nicht öffnen. Neuer Versuch von einem systemweiten Ort…	Windows n'a pas pu ouvrir le paquet depuis ce dossier. Nouvelle tentative depuis un emplacement système…	Windows가 이 폴더에서 패키지를 열 수 없었습니다. 시스템 전역 위치에서 다시 시도합니다…	Windows no pudo abrir el paquete desde esta carpeta. Reintentando desde una ubicación del sistema…					Windows non ha potuto aprire il pacchetto da questa cartella. Nuovo tentativo da una posizione di sistema…	O Windows não conseguiu abrir o pacote desta pasta. Tentando de novo a partir de um local do sistema…		Windows nie mógł otworzyć pakietu z tego folderu. Ponowna próba z lokalizacji systemowej…
Windows file picker	Windows-Dateiauswahl	Sélecteur de fichiers Windows	Windows 파일 선택기	Selector de archivos					Selettore file di Windows	Seletor de arquivos do Windows		Selektor plików Windows
Wipe every ClawTweaks setting back to a clean state (all profiles, fan curves, TDP, controller). This cannot be undone — take a backup first if unsure.	Setzt jede ClawTweaks-Einstellung zurück (alle Profile, Lüfterkurven, TDP, Controller). Das lässt sich nicht rückgängig machen — im Zweifel vorher ein Backup anlegen.	Remet chaque réglage ClawTweaks à zéro (profils, courbes, TDP, manette). Irréversible — faites un backup avant en cas de doute.	모든 ClawTweaks 설정을 초기 상태로 되돌립니다 (프로필, 팬 커브, TDP, 컨트롤러). 되돌릴 수 없으니 확실하지 않으면 먼저 백업하세요.	Restablece todos los ajustes de ClawTweaks (perfiles, ventiladores, TDP, mando). No se puede deshacer — haz una copia antes si dudas.					Azzera ogni impostazione ClawTweaks (tutti i profili, curve della ventola, TDP, controller). Non si può annullare — fai prima un backup se hai dubbi.	Apaga todas as configurações do ClawTweaks (todos os perfis, curvas da ventoinha, TDP, controle). Não pode ser desfeito — faça um backup antes se tiver dúvida.		Wyczyść wszystkie ustawienia ClawTweaks (wszystkie profile, krzywe wentylatora, TDP, kontroler). Tego nie można cofnąć — w razie wątpliwości najpierw zrób kopię.
Work down the list. Each step is optional except the last.	Arbeite die Liste ab. Nur der letzte Schritt ist Pflicht.	Suis la liste. Seule la dernière étape est obligatoire.	목록을 차례로 진행하세요. 마지막 단계만 필수입니다.	Sigue la lista. Solo el último paso es obligatorio.					Segui l'elenco. Ogni passo è facoltativo tranne l'ultimo.	Siga a lista. Cada etapa é opcional, exceto a última.		Przejdź listę po kolei. Każdy krok jest opcjonalny oprócz ostatniego.
Working…	Läuft…	En cours…	진행 중…	Trabajando…					Elaborazione…	Processando…		Pracuję…
XInput controllers	XInput-Controller	Manettes XInput	XInput 컨트롤러	Mandos XInput					Controller XInput	Controles XInput		Kontrolery XInput
Yes, if ClawTweaks should control the controller, the fan and the LEDs.	Ja, wenn ClawTweaks Controller, Lüfter und LEDs steuern soll.	Oui, si ClawTweaks doit piloter la manette, le ventilateur et les LED.	예, ClawTweaks가 컨트롤러와 팬, LED를 제어하려면 필요합니다.	Sí, si ClawTweaks debe controlar el mando, el ventilador y los LED.					Sì, se ClawTweaks deve gestire controller, ventola e LED.	Sim, se o ClawTweaks deve controlar o controle, a ventoinha e os LEDs.		Tak, jeśli ClawTweaks ma sterować kontrolerem, wentylatorem i LED.
Yes, install	Ja, installieren	Oui, installer	예, 설치	Sí, instalar					Sì, installa	Sim, instalar		Tak, zainstaluj
Yes, reset everything	Ja, alles zurücksetzen	Oui, tout réinitialiser	예, 모두 초기화	Sí, restablecer todo					Sì, azzera tutto	Sim, redefinir tudo		Tak, zresetuj wszystko
Yes, restore	Ja, wiederherstellen	Oui, restaurer	예, 복원	Sí, restaurar					Sì, ripristina	Sim, restaurar		Tak, przywróć
Yes, restore the device	Ja, Gerät zurücksetzen	Oui, restaurer l'appareil	예, 기기를 되돌립니다	Sí, restaurar el dispositivo					Sì, ripristina il dispositivo	Sim, restaurar o dispositivo		Tak, przywróć urządzenie
Yes, uninstall Center	Ja, Center deinstallieren	Oui, désinstaller Center	예, Center를 제거합니다	Sí, desinstalar Center					Sì, disinstalla Center	Sim, desinstalar o Center		Tak, odinstaluj Center
Yes, uninstall ClawTweaks	Ja, ClawTweaks deinstallieren	Oui, désinstaller ClawTweaks	예, ClawTweaks를 제거합니다	Sí, desinstalar ClawTweaks					Sì, disinstalla ClawTweaks	Sim, desinstalar o ClawTweaks		Tak, odinstaluj ClawTweaks
Your Claw's own gamepad is hidden and replaced by a virtual one.	Der echte Controller der Claw wird versteckt und durch einen virtuellen ersetzt.	La manette physique de la Claw est masquée et remplacée par une manette virtuelle.	Claw의 실제 게임패드를 숨기고 가상 게임패드로 대체합니다.	El mando físico de la Claw se oculta y se sustituye por uno virtual.					Il gamepad della tua Claw viene nascosto e sostituito da uno virtuale.	O controle do seu Claw fica oculto e é substituído por um virtual.		Własny pad Twojego Claw jest ukryty i zastąpiony wirtualnym.
